config_label,num_writers,num_readers,writer_rate,reader_rate,key_pool_size,key_overlap_ratio,max_retry_count,duration_secs,precondition_failure_rate,write_tps,read_tps,write_p50_ms,write_p95_ms,write_p99_ms,precond_p50_ms,precond_p99_ms,read_p50_ms,read_p99_ms,avg_retry_count
W2_WR0.20_O0.2_RD4_RT6,2,4,0.2,6,100,0.2,1,60,0.5000,0.39,3.42,1228.80,1675.26,2246.66,1098.75,1550.34,1000.96,2547.71,0.50
W2_WR0.20_O0.3_RD4_RT5,2,4,0.2,5,100,0.3,1,60,0.5217,0.37,3.66,1170.43,1647.62,1825.79,1090.56,1575.93,857.60,2494.46,0.48
W2_WR0.20_O0.3_RD4_RT6,2,4,0.2,6,100,0.3,1,60,0.5000,0.39,3.45,1192.96,1872.89,1911.81,1304.58,1548.29,950.78,2537.47,0.50
W2_WR0.20_O0.4_RD4_RT5,2,4,0.2,5,100,0.4,1,60,0.5000,0.39,3.43,1175.55,1638.40,1963.01,1087.49,1276.93,996.86,2617.34,0.50
W2_WR0.20_O0.4_RD4_RT6,2,4,0.2,6,100,0.4,1,60,0.5000,0.39,3.46,1185.79,1444.86,1521.66,1147.90,1367.04,963.58,2527.23,0.50
W3_WR0.05_O0.1_RD4_RT5,3,4,0.05,5,100,0.1,1,60,1.1429,0.12,5.22,1207.30,2762.75,2762.75,1128.45,1508.35,802.30,1051.65,0.57
W3_WR0.05_O0.1_RD4_RT6,3,4,0.05,6,100,0.1,1,60,1.1667,0.10,5.78,1134.59,1275.90,1275.90,1096.70,1418.24,715.26,1019.90,0.50
W3_WR0.05_O0.2_RD4_RT5,3,4,0.05,5,100,0.2,1,60,1.1429,0.11,5.17,1015.29,2238.46,2238.46,1067.01,1218.56,807.42,1062.91,0.57
W3_WR0.05_O0.2_RD4_RT6,3,4,0.05,6,100,0.2,1,60,1.5000,0.10,5.84,1070.08,1164.29,1164.29,1069.06,1168.38,710.14,1021.95,0.50
W3_WR0.05_O0.3_RD4_RT5,3,4,0.05,5,100,0.3,1,60,1.5000,0.10,5.80,1206.27,1454.08,1454.08,1123.33,1500.16,715.77,984.58,0.50
W3_WR0.05_O0.3_RD4_RT6,3,4,0.05,6,100,0.3,1,60,1.5000,0.10,5.80,1164.29,1363.97,1363.97,1157.12,1304.58,717.31,978.94,0.50
W3_WR0.05_O0.4_RD4_RT5,3,4,0.05,5,100,0.4,1,60,1.3333,0.10,5.81,1271.81,1579.01,1579.01,1339.39,1675.26,709.63,964.61,0.50
W3_WR0.05_O0.4_RD4_RT6,3,4,0.05,6,100,0.4,1,60,0.8750,0.13,4.92,1174.53,2250.75,2250.75,1159.17,1280.00,760.32,1234.94,0.62
W3_WR0.10_O0.1_RD4_RT5,3,4,0.1,5,100,0.1,1,60,1.1538,0.21,4.51,1214.46,2525.18,2525.18,1091.58,1362.94,786.94,1638.40,0.54
W3_WR0.10_O0.1_RD4_RT6,3,4,0.1,6,100,0.1,1,60,1.0000,0.21,4.64,1208.32,2969.60,2969.60,1082.37,1210.37,763.39,1626.11,0.46
W3_WR0.10_O0.2_RD4_RT5,3,4,0.1,5,100,0.2,1,60,1.5000,0.20,4.54,1142.78,1628.16,1628.16,1142.78,1643.52,796.67,1547.26,0.50
W3_WR0.10_O0.2_RD4_RT6,3,4,0.1,6,100,0.2,1,60,1.2308,0.21,4.29,1228.80,1475.58,1475.58,1214.46,2156.54,866.30,1652.73,0.54
W3_WR0.10_O0.3_RD4_RT5,3,4,0.1,5,100,0.3,1,60,1.1429,0.23,4.21,1192.96,4681.73,4681.73,1112.06,2478.08,828.93,1769.47,0.57
W3_WR0.10_O0.3_RD4_RT6,3,4,0.1,6,100,0.3,1,60,1.3333,0.20,4.63,1211.39,3012.61,3012.61,1218.56,1542.14,771.07,1554.43,0.42
W3_WR0.10_O0.4_RD4_RT5,3,4,0.1,5,100,0.4,1,60,0.9333,0.24,4.09,1264.64,2529.28,2529.28,1156.10,1391.62,866.82,1844.22,0.53
