config_label,num_writers,num_readers,writer_rate,reader_rate,key_pool_size,key_overlap_ratio,max_retry_count,duration_secs,precondition_failure_rate,write_tps,read_tps,write_p50_ms,write_p95_ms,write_p99_ms,precond_p50_ms,precond_p99_ms,read_p50_ms,read_p99_ms,avg_retry_count,total_retry_failures,total_max_retries_exceeded,retry_failure_rate,retry_success_rate
W3_WR0.10_RD5_RT100,3,5,0.1,100,100,0,1,60,0.7500,0.26,4.43,1738.75,3887.10,3887.10,1473.54,4126.72,1008.13,2271.23,0.50,2,2,0.1667,0.8000
W3_WR0.10_RD5_RT200,3,5,0.1,200,100,0,1,60,0.9333,0.24,4.13,1582.08,4411.39,4411.39,1506.30,3280.89,1142.78,2211.84,0.53,3,3,0.2143,0.7273
W3_WR0.10_RD5_RT300,3,5,0.1,300,100,0,1,60,1.1429,0.23,4.31,1574.91,4423.68,4423.68,1524.73,2115.58,1048.06,2089.98,0.57,4,4,0.2500,0.6667
W3_WR0.10_RD6_RT100,3,6,0.1,100,100,0,1,60,0.6923,0.21,5.63,2057.22,4792.32,4792.32,1552.38,2430.97,907.26,1951.74,0.31,2,2,0.2222,0.7143
W3_WR0.10_RD6_RT200,3,6,0.1,200,100,0,1,60,1.2000,0.16,6.39,1531.90,4689.92,4689.92,1485.82,1974.27,840.19,1609.73,0.40,4,4,0.3333,0.5000
W3_WR0.10_RD6_RT300,3,6,0.1,300,100,0,1,60,1.0714,0.23,5.51,1752.06,5967.87,5967.87,1673.21,2473.98,930.82,2022.40,0.50,4,4,0.2667,0.6364
W3_WR0.20_RD3_RT100,3,3,0.2,100,100,0,1,60,1.5000,0.39,2.02,1325.06,2037.76,2142.21,1269.76,2080.77,1345.54,3170.30,0.50,12,12,0.3333,0.5000
W3_WR0.20_RD3_RT200,3,3,0.2,200,100,0,1,60,1.3077,0.41,1.97,1324.03,2065.41,2920.45,1252.35,2154.49,1338.37,3360.77,0.54,10,10,0.2941,0.5833
W3_WR0.20_RD3_RT300,3,3,0.2,300,100,0,1,60,1.4000,0.41,2.13,1325.06,2144.26,3211.26,1282.05,2086.91,1199.10,3180.54,0.52,11,11,0.3143,0.5417
W3_WR0.20_RD4_RT100,3,4,0.2,100,100,0,1,60,1.5000,0.38,2.78,1470.46,2059.26,2136.06,1476.61,2140.16,1288.19,3155.97,0.50,12,12,0.3333,0.5000
W3_WR0.20_RD4_RT200,3,4,0.2,200,100,0,1,60,1.2308,0.42,2.71,1459.20,3334.14,4509.69,1378.30,2398.21,1200.13,3309.57,0.46,10,10,0.3125,0.5455
W3_WR0.20_RD4_RT300,3,4,0.2,300,100,0,1,60,0.9655,0.45,2.52,1502.21,5533.69,5537.79,1418.24,2715.65,1257.47,3807.23,0.48,7,7,0.2500,0.6667
W3_WR0.20_RD5_RT100,3,5,0.2,100,100,0,1,60,1.2222,0.42,3.35,1502.21,3364.86,3399.68,1419.26,2863.10,1332.22,3557.38,0.56,9,9,0.2727,0.6250
W3_WR0.20_RD5_RT200,3,5,0.2,200,100,0,1,60,1.2500,0.38,3.39,1586.17,2353.15,3495.93,1499.13,2301.95,1246.21,3196.93,0.46,9,9,0.3000,0.5714
W3_WR0.20_RD5_RT300,3,5,0.2,300,100,0,1,60,0.8333,0.48,3.20,1595.39,3723.26,5840.90,1506.30,3622.91,1214.46,3786.75,0.50,5,5,0.2000,0.7500
W3_WR0.20_RD6_RT100,3,6,0.2,100,100,0,1,60,1.0370,0.43,4.42,1685.50,6651.90,7327.74,1571.84,3387.39,1112.06,3260.41,0.41,8,8,0.2857,0.6000
W3_WR0.20_RD6_RT200,3,6,0.2,200,100,0,1,60,1.0870,0.37,5.32,1676.29,2648.06,3432.45,1609.73,3366.91,685.57,3006.46,0.48,6,6,0.2400,0.6842
W3_WR0.20_RD6_RT300,3,6,0.2,300,100,0,1,60,0.7812,0.50,3.92,1659.90,3647.49,4014.08,1623.04,3966.97,1104.89,4007.93,0.53,4,4,0.1600,0.8095
